s,p,a,,
0.055,0.115579,10.69,,
0.05,0.053936,10.59,,
0.045,-0.03853,12.41,,
0.04,0.046233,14.02,,
0.035,0.053936,15.13,,
0.03,0.092462,16.32,,
0.025,0.091586,18.55,,
0.02,0.06935,18.8,,
0.015,-0.06164,19.8,,
0.01,-0.06115,21.83,,
0.005,-0.06164,22.77,,
0,-0.09246,23.38,,
-0.005,-0.11558,23.92,,
-0.01,-0.15411,25.26,,
-0.015,-0.20034,25.42,,
-0.02,-0.24657,26.32,,
-0.025,-0.2851,26.55,,
-0.03,-0.30051,27.15,,
-0.035,-0.32362,27.6,,
-0.04,-0.34674,27.27,,
-0.045,-0.39297,27.88,,
-0.05,-0.42357,27.75,,
-0.055,-0.40838,26.75,,
