s,p,a,,
0.055,-0.072462,1.951,,
0.05,-0.06935,2.127,,
0.045,-0.13099,2.203,,
0.04,-0.15411,2.618,,
0.035,-0.22238,2.773,,
0.03,-0.20804,3.032,,
0.025,-0.26968,3.41,,
0.02,-0.30821,3.555,,
0.015,-0.33133,3.761,,
0.01,-0.40838,3.959,,
0.005,-0.43148,4.277,,
0,-0.47002,4.662,,
-0.005,-0.51626,5.031,,
-0.01,-0.54708,5.331,,
-0.015,-0.5856,5.751,,
-0.02,-0.60871,6.045,,
-0.025,-0.64725,6.472,,
-0.03,-0.70118,6.671,,
-0.035,-0.70889,6.836,,
-0.04,-0.69348,7.123,,
-0.045,-0.68685,7.415,,
-0.05,-0.67807,7.562,,
-0.055,-0.67036,7.457,,
