FREQUENCY,MAGNITUDE,PHASE,
1.000000e+00,5.000000e-01,-2.75094e-04,
1.122018e+00,5.000000e-01,-3.08661e-04,
1.258925e+00,5.000000e-01,-3.46323e-04,
1.412538e+00,5.000000e-01,-3.88581e-04,
1.584893e+00,5.000000e-01,-4.35995e-04,
1.778279e+00,5.000000e-01,-4.89194e-04,
1.995262e+00,5.000000e-01,-5.48885e-04,
2.238721e+00,5.000000e-01,-6.15859e-04,
2.511886e+00,5.000000e-01,-6.91005e-04,
2.818383e+00,5.000000e-01,-7.75321e-04,
3.162278e+00,5.000000e-01,-8.69924e-04,
3.548134e+00,5.000000e-01,-9.76071e-04,
3.981072e+00,5.000000e-01,-1.09517e-03,
4.466836e+00,5.000000e-01,-1.22880e-03,
5.011872e+00,5.000000e-01,-1.37874e-03,
5.623413e+00,5.000000e-01,-1.54697e-03,
6.309573e+00,5.000000e-01,-1.73573e-03,
7.079458e+00,5.000000e-01,-1.94752e-03,
7.943282e+00,5.000000e-01,-2.18515e-03,
8.912509e+00,4.999999e-01,-2.45178e-03,
1.000000e+01,4.999999e-01,-2.75094e-03,
1.122018e+01,4.999999e-01,-3.08661e-03,
1.258925e+01,4.999999e-01,-3.46323e-03,
1.412538e+01,4.999999e-01,-3.88581e-03,
1.584893e+01,4.999998e-01,-4.35995e-03,
1.778279e+01,4.999998e-01,-4.89194e-03,
1.995262e+01,4.999997e-01,-5.48885e-03,
2.238721e+01,4.999996e-01,-6.15859e-03,
2.511886e+01,4.999995e-01,-6.91005e-03,
2.818383e+01,4.999994e-01,-7.75320e-03,
3.162278e+01,4.999993e-01,-8.69924e-03,
3.548134e+01,4.999991e-01,-9.76070e-03,
3.981072e+01,4.999988e-01,-1.09517e-02,
4.466836e+01,4.999985e-01,-1.22880e-02,
5.011872e+01,4.999982e-01,-1.37873e-02,
5.623413e+01,4.999977e-01,-1.54697e-02,
6.309573e+01,4.999971e-01,-1.73572e-02,
7.079458e+01,4.999963e-01,-1.94751e-02,
7.943282e+01,4.999954e-01,-2.18514e-02,
8.912509e+01,4.999942e-01,-2.45177e-02,
1.000000e+02,4.999927e-01,-2.75092e-02,
1.122018e+02,4.999908e-01,-3.08658e-02,
1.258925e+02,4.999884e-01,-3.46320e-02,
1.412538e+02,4.999855e-01,-3.88576e-02,
1.584893e+02,4.999817e-01,-4.35988e-02,
1.778279e+02,4.999770e-01,-4.89185e-02,
1.995262e+02,4.999710e-01,-5.48872e-02,
2.238721e+02,4.999635e-01,-6.15841e-02,
2.511886e+02,4.999541e-01,-6.90979e-02,
2.818383e+02,4.999423e-01,-7.75284e-02,
3.162278e+02,4.999274e-01,-8.69872e-02,
3.548134e+02,4.999087e-01,-9.75997e-02,
3.981072e+02,4.998852e-01,-1.09507e-01,
4.466836e+02,4.998557e-01,-1.22865e-01,
5.011872e+02,4.998188e-01,-1.37853e-01,
5.623413e+02,4.997726e-01,-1.54668e-01,
6.309573e+02,4.997148e-01,-1.73532e-01,
7.079458e+02,4.996426e-01,-1.94695e-01,
7.943282e+02,4.995527e-01,-2.18435e-01,
8.912509e+02,4.994410e-01,-2.45066e-01,
1.000000e+03,4.993028e-01,-2.74938e-01,
1.122018e+03,4.991325e-01,-3.08444e-01,
1.258925e+03,4.989240e-01,-3.46023e-01,
1.412538e+03,4.986706e-01,-3.88168e-01,
1.584893e+03,4.983655e-01,-4.35431e-01,
1.778279e+03,4.980028e-01,-4.88432e-01,
1.995262e+03,4.975790e-01,-5.47868e-01,
2.238721e+03,4.970946e-01,-6.14526e-01,
2.511886e+03,4.965581e-01,-6.89299e-01,
2.818383e+03,4.959897e-01,-7.73215e-01,
3.162278e+03,4.954268e-01,-8.67465e-01,
3.548134e+03,4.949297e-01,-9.73462e-01,
3.981072e+03,4.945850e-01,-1.09291e+00,
4.466836e+03,4.945021e-01,-1.22793e+00,
5.011872e+03,4.947960e-01,-1.38118e+00,
5.623413e+03,4.955447e-01,-1.55609e+00,
6.309573e+03,4.967148e-01,-1.75702e+00,
7.079458e+03,4.980760e-01,-1.98954e+00,
7.943282e+03,4.992004e-01,-2.26071e+00,
8.912509e+03,4.997203e-01,-2.58026e+00,
1.000000e+04,4.995537e-01,-2.96529e+00,
1.122018e+04,4.952335e-01,2.829214e+00,
1.258925e+04,4.565072e-01,2.166673e+00,
1.412538e+04,3.209408e-01,1.363718e+00,
1.584893e+04,1.670937e-01,6.999048e-01,
1.778279e+04,8.031899e-02,2.565691e-01,
1.995262e+04,3.929552e-02,-4.97135e-02,
2.238721e+04,1.980669e-02,-2.77610e-01,
2.511886e+04,1.023772e-02,-4.56605e-01,
2.818383e+04,5.394941e-03,-6.02279e-01,
3.162278e+04,2.884917e-03,-7.23694e-01,
3.548134e+04,1.559998e-03,-8.26582e-01,
3.981072e+04,8.508035e-04,-9.14818e-01,
4.466836e+04,4.670920e-04,-9.91160e-01,
5.011872e+04,2.577525e-04,-1.05765e+00,
5.623413e+04,1.428043e-04,-1.11585e+00,
6.309573e+04,7.936710e-05,-1.16700e+00,
7.079458e+04,4.421900e-05,-1.21208e+00,
7.943282e+04,2.468420e-05,-1.25191e+00,
8.912509e+04,1.380044e-05,-1.28716e+00,
1.000000e+05,7.724877e-06,-1.31841e+00,
1.122018e+05,4.328175e-06,-1.34615e+00,
1.258925e+05,2.426869e-06,-1.37078e+00,
1.412538e+05,1.361595e-06,-1.39267e+00,
1.584893e+05,7.642855e-07,-1.41214e+00,
1.778279e+05,4.291674e-07,-1.42947e+00,
1.995262e+05,2.410613e-07,-1.44489e+00,
2.238721e+05,1.354351e-07,-1.45862e+00,
2.511886e+05,7.610558e-08,-1.47084e+00,
2.818383e+05,4.277269e-08,-1.48173e+00,
3.162278e+05,2.404186e-08,-1.49143e+00,
3.548134e+05,1.351483e-08,-1.50007e+00,
3.981072e+05,7.597756e-09,-1.50777e+00,
4.466836e+05,4.271554e-09,-1.51462e+00,
5.011872e+05,2.401635e-09,-1.52074e+00,
5.623413e+05,1.350344e-09,-1.52618e+00,
6.309573e+05,7.592669e-10,-1.53104e+00,
7.079458e+05,4.269282e-10,-1.53536e+00,
7.943282e+05,2.400620e-10,-1.53921e+00,
8.912509e+05,1.349890e-10,-1.54265e+00,
1.000000e+06,7.590645e-11,-1.54571e+00,
