FREQUENCY,MAGNITUDE,PHASE,
1.000000e+00,2.361819e-02,1.547176e+00,
1.122018e+00,2.649813e-02,1.544295e+00,
1.258925e+00,2.972869e-02,1.541063e+00,
1.412538e+00,3.335232e-02,1.537438e+00,
1.584893e+00,3.741653e-02,1.533371e+00,
1.778279e+00,4.197443e-02,1.528810e+00,
1.995262e+00,4.708535e-02,1.523694e+00,
2.238721e+00,5.281547e-02,1.517956e+00,
2.511886e+00,5.923854e-02,1.511523e+00,
2.818383e+00,6.643656e-02,1.504311e+00,
3.162278e+00,7.450049e-02,1.496227e+00,
3.548134e+00,8.353092e-02,1.487168e+00,
3.981072e+00,9.363869e-02,1.477020e+00,
4.466836e+00,1.049453e-01,1.465657e+00,
5.011872e+00,1.175830e-01,1.452941e+00,
5.623413e+00,1.316948e-01,1.438718e+00,
6.309573e+00,1.474333e-01,1.422824e+00,
7.079458e+00,1.649593e-01,1.405080e+00,
7.943282e+00,1.844388e-01,1.385295e+00,
8.912509e+00,2.060383e-01,1.363272e+00,
1.000000e+01,2.299187e-01,1.338802e+00,
1.122018e+01,2.562254e-01,1.311681e+00,
1.258925e+01,2.850768e-01,1.281710e+00,
1.412538e+01,3.165483e-01,1.248708e+00,
1.584893e+01,3.506533e-01,1.212528e+00,
1.778279e+01,3.873222e-01,1.173071e+00,
1.995262e+01,4.263805e-01,1.130309e+00,
2.238721e+01,4.675294e-01,1.084302e+00,
2.511886e+01,5.103337e-01,1.035224e+00,
2.818383e+01,5.542218e-01,9.833686e-01,
3.162278e+01,5.985023e-01,9.291660e-01,
3.548134e+01,6.424004e-01,8.731700e-01,
3.981072e+01,6.851108e-01,8.160405e-01,
4.466836e+01,7.258630e-01,7.585081e-01,
5.011872e+01,7.639851e-01,7.013294e-01,
5.623413e+01,7.989565e-01,6.452383e-01,
6.309573e+01,8.304394e-01,5.909005e-01,
7.079458e+01,8.582851e-01,5.388777e-01,
7.943282e+01,8.825177e-01,4.896071e-01,
8.912509e+01,9.033010e-01,4.433936e-01,
1.000000e+02,9.208987e-01,4.004166e-01,
1.122018e+02,9.356344e-01,3.607441e-01,
1.258925e+02,9.478573e-01,3.243524e-01,
1.412538e+02,9.579152e-01,2.911471e-01,
1.584893e+02,9.661368e-01,2.609830e-01,
1.778279e+02,9.728204e-01,2.336817e-01,
1.995262e+02,9.782295e-01,2.090455e-01,
2.238721e+02,9.825909e-01,1.868683e-01,
2.511886e+02,9.860972e-01,1.669441e-01,
2.818383e+02,9.889092e-01,1.490728e-01,
3.162278e+02,9.911601e-01,1.330634e-01,
3.548134e+02,9.929591e-01,1.187366e-01,
3.981072e+02,9.943951e-01,1.059263e-01,
4.466836e+02,9.955401e-01,9.447945e-02,
5.011872e+02,9.964525e-01,8.425640e-02,
5.623413e+02,9.971791e-01,7.513012e-02,
6.309573e+02,9.977573e-01,6.698569e-02,
7.079458e+02,9.982173e-01,5.971942e-02,
7.943282e+02,9.985832e-01,5.323800e-02,
8.912509e+02,9.988741e-01,4.745763e-02,
1.000000e+03,9.991054e-01,4.230319e-02,
1.122018e+03,9.992892e-01,3.770738e-02,
1.258925e+03,9.994352e-01,3.361002e-02,
1.412538e+03,9.995513e-01,2.995728e-02,
1.584893e+03,9.996435e-01,2.670109e-02,
1.778279e+03,9.997168e-01,2.379854e-02,
1.995262e+03,9.997750e-01,2.121129e-02,
2.238721e+03,9.998213e-01,1.890517e-02,
2.511886e+03,9.998580e-01,1.684966e-02,
2.818383e+03,9.998872e-01,1.501757e-02,
3.162278e+03,9.999104e-01,1.338463e-02,
3.548134e+03,9.999288e-01,1.192921e-02,
3.981072e+03,9.999435e-01,1.063202e-02,
4.466836e+03,9.999551e-01,9.475874e-03,
5.011872e+03,9.999643e-01,8.445434e-03,
5.623413e+03,9.999717e-01,7.527038e-03,
6.309573e+03,9.999775e-01,6.708505e-03,
